file,module,ecosystem,total_lines,covered_lines,coverage_pct,test_exists,priority
"backend/booking-service/src/main/java/com/skybooker/bookingservice/config/RabbitMessagingConfig.java","booking-service",backend,5,0,0.00,false,LOW
"backend/booking-service/src/main/java/com/skybooker/bookingservice/integration/FlightServiceClient.java","booking-service",backend,16,0,0.00,false,MEDIUM
"backend/booking-service/src/main/java/com/skybooker/bookingservice/integration/SeatServiceClient.java","booking-service",backend,10,0,0.00,false,MEDIUM
"backend/booking-service/src/main/java/com/skybooker/bookingservice/integration/PaymentServiceClient.java","booking-service",backend,16,0,0.00,false,MEDIUM
"backend/booking-service/src/main/java/com/skybooker/bookingservice/dto/ServiceStatusResponse.java","booking-service",backend,10,6,60.00,false,LOW
"backend/booking-service/src/main/java/com/skybooker/bookingservice/dto/UpdateBookingStatusRequest.java","booking-service",backend,1,0,0.00,false,LOW
"backend/eureka-server/src/main/java/com/skybooker/eurekaserver/EurekaServerApplication.java","eureka-server",backend,3,1,33.33,true,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/FlightServiceApplication.java","flight-service",backend,3,0,0.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/ApiMessageResponse.java","flight-service",backend,6,4,66.67,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/UpdateFlightRequest.java","flight-service",backend,45,39,86.67,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/CreateFlightRequest.java","flight-service",backend,45,45,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/UpdateFlightAvailabilityRequest.java","flight-service",backend,4,0,0.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/FlightResponse.java","flight-service",backend,52,41,78.85,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/RoundTripSearchResponse.java","flight-service",backend,10,6,60.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/dto/UpdateFlightStatusRequest.java","flight-service",backend,7,7,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/config/HttpClientConfig.java","flight-service",backend,2,0,0.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/service/impl/FlightServiceImpl.java","flight-service",backend,228,155,67.98,true,HIGH
"backend/flight-service/src/main/java/com/skybooker/flightservice/controller/FlightController.java","flight-service",backend,15,0,0.00,false,MEDIUM
"backend/flight-service/src/main/java/com/skybooker/flightservice/service/AirlineCatalogClient.java","flight-service",backend,11,11,100.00,true,HIGH
"backend/flight-service/src/main/java/com/skybooker/flightservice/service/FlightDataSeeder.java","flight-service",backend,164,151,92.07,true,HIGH
"backend/flight-service/src/main/java/com/skybooker/flightservice/service/FlightSeatSyncService.java","flight-service",backend,52,46,88.46,true,HIGH
"backend/flight-service/src/main/java/com/skybooker/flightservice/entity/SeatClass.java","flight-service",backend,5,5,100.00,false,LOW
"backend/flight-service/src/main/java/com/skybooker/flightservice/entity/FlightStatus.java","flight-service",backend,6,6,100.00,false,LOW
